brand,item,price,image_url,product_url
HEATTECH® INNERWEAR,T-shirt sans manches,"19,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwb4335c05/MINNE270_1010_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/t-shirt-sans-manches-blanc-glace-MINNE270_1010.html
VIP,Pantalon,"69,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwc808e97a/MVIP244_1007_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-blanc-rose-MVIP244_1007.html
DIMANCHE,Pantalon,"39,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwba811360/KDIMA244_5007_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-jaune-cumin-KDIMA244_5007.html
TAMTAM SHAKER,Legging,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwe5f1e11e/KTAMT272_1839_AP1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/legging-menara-vert-bowie-KTAMT272_1839.html
CARESSE,Nuisette longue,"129,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw94e6edcb/MCARE246_2000_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/nuisette-longue-noir-MCARE246_2000.html
HEATTECH® INNERWEAR,T-shirt sans manches,"19,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw4e62a870/MINNE270_6007_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/t-shirt-sans-manches-brun-muscade-MINNE270_6007.html
ECHO,Short de pyjama,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw58d5dfcc/LECHO248_1946_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/short-de-pyjama-petale-noir-LECHO248_1946.html
ATTITUDE,Pantalon,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw28d922ec/MATTI244_2115_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-gris-fume-MATTI244_2115.html
HEATTECH® INNERWEAR,T-shirt sans manches,"19,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw898539f6/MINNE270_2115_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/t-shirt-sans-manches-gris-fume-MINNE270_2115.html
ECHO,Short de pyjama,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw54ec5b44/LECHO248_1947_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/short-de-pyjama-flocon-noir-LECHO248_1947.html
