brand,product,original price,current price,image url,product url,description,material,color
h&m,Hoodie,$17.99,$17.99,"https://lp2.hm.com/hmgoepprod?set=source[/7d/d9/7dd97394063933131f29d94fe830f4e1e2960eac.jpg],origin[dam],category[ladies_hoodiesswetshirts_hoodies],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0715624051.html,"Soft, long-sleeved sweatshirt with a jersey-lined drawstring hood, kangaroo pocket, and ribbing at cuffs and hem. Soft, brushed inside.","['Cotton 60%, Polyester 40%']","Black, Powder pink/heart, White/Love, Light gray melange, Lavender, Dark gray/Love, Dark beige/Love"
h&m,Knit Joggers,$29.99,$29.99,"https://lp2.hm.com/hmgoepprod?set=source[/13/86/13863abc927c65fcf9640cec318f153080919737.jpg],origin[dam],category[ladies_occasion_loungewear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0909911001.html,"Relaxed-fit joggers in soft, knit fabric with wool content. Elasticized, drawstring waistband and ribbed hems. Polyester content is partly recycled.","['Polyester 76%, Acrylic 21%, Wool 3%']","Dark gray melange, Light beige"
h&m,Cotton Sweatshirt,$17.99,$17.99,"https://lp2.hm.com/hmgoepprod?set=source[/9f/d4/9fd47499b9277d7243924339e133eac87f875813.jpg],origin[dam],category[ladies_occasion_loungewear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0935892001.html,"Relaxed-fit sweatshirt in organic cotton fabric. Dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. Soft, brushed inside.",['Cotton 100%'],Light beige
h&m,Pool Shoes,$12.99,$12.99,"https://lp2.hm.com/hmgoepprod?set=source[/c7/2d/c72d73ec0c0cb2f937a66f564ea49a6eac6e5e8d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0873653001.html,Pool shoes with a plastic foot strap. Molded soles with a pattern underneath. Sole thickness 1 in.,"['Lining and insole: Thermoplastic Polyurethane 100%', 'Upper: Thermoplastic Polyurethane 100%', 'Sole: Ethylene Vinyl Acetate 100%']",Black
h&m,Leggings,$17.99,$17.99,"https://lp2.hm.com/hmgoepprod?set=source[/10/32/10329236a2dc24ec11592d685e9b0e2ba2faec17.jpg],origin[dam],category[ladies_trousers_leggings],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0735974001.html,"Leggings in viscose-blend jersey with wide, foldover ribbing at waist.","['Viscose 77%, Polyamide 19%, Elastane 4%']",Black
h&m,Cotton Hoodie,$29.99,$29.99,"https://lp2.hm.com/hmgoepprod?set=source[/64/3e/643ece419a85d125ab84ddd3fbd4b238df145cb2.jpg],origin[dam],category[ladies_occasion_loungewear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0944506001.html,"Sweatshirt hoodie in organic cotton fabric. Lined drawstring hood, dropped shoulders, and long sleeves. Ribbing at cuffs and hem. Soft, brushed inside.",['Cotton 100%'],"Pigeon blue, Light gray melange, Black"
h&m,Printed Jersey Pajamas,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/cf/45/cf4568aef5869225a4582a3aa7dfc0c68a503b12.jpg],origin[dam],category[ladies_nightwear_pyjamas],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0821187005.html,"Pajamas with T-shirt and leggings in soft jersey. Oversized T-shirt with a round, ribbed neckline, printed graphic design at front, and dropped shoulders. Leggings with elasticized waistband.","['Top: Cotton 60%, Polyester 40%', 'Lower section: Cotton 95%, Elastane 5%']",Dark gray/Mickey Mouse
h&m,Pajama Pants,$12.99,$12.99,"https://lp2.hm.com/hmgoepprod?set=source[/85/17/8517a5fd364cb69564dc9f8278f17d3e0bbd146e.jpg],origin[dam],category[ladies_nightwear_pyjamas],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0536139071.html,Lightweight pajama pants. Elasticized waistband with drawstring. Tapered legs with ribbed hems.,"['Cotton 60%, Polyester 40%']","Black, Light gray melange, Black/white dotted, Dark gray"
h&m,Sweatshirt,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/4d/0c/4d0cdfad8f82c8428135d1021d1aafd68253b9ff.jpg],origin[dam],category[ladies_occasion_loungewear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0909925004.html,"Long-sleeved sweatshirt in soft, organic cotton fabric. Crew neck, dropped shoulders, and ribbing at neckline, cuffs, and hem.",['Cotton 100%'],"Light gray melange, Khaki green"
h&m,Satin Pajamas,$29.99,$29.99,"https://lp2.hm.com/hmgoepprod?set=source[/b8/d1/b8d12f8d76d8b7d7b30fbe06591d06e41328d28b.jpg],origin[dam],category[ladies_nightwear_pyjamas],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0761696004.html,"Pajama shirt and shorts in satin with piped trim. Shirt with rounded, notched lapels and buttons at front. Shorts with covered, elasticized waistband.",['Polyester 100%'],Black
h&m,Pool Shoes,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/73/d3/73d3b9153d158c37aaa499a70cd3126fee76b30b.jpg],origin[dam],category[ladies_nightwear_slippers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0811368001.html,Pool shoes with a shimmery foot strap. Molded insoles and fluted soles.,"['Upper: Polyester 100%', 'Lining and insole: Polyester 100%', 'Sole: Thermoplastic rubber 100%']",Black/rhinestones
h&m,Pajama Top and Shorts,$17.99,$17.99,"https://lp2.hm.com/hmgoepprod?set=source[/4d/0b/4d0b3bcc67a2d58c620e758d6d47d8697e052129.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0856919003.html,"Pajama top and shorts in soft, ribbed cotton jersey. Top with ribbed neckline and short sleeves with overlocked edges. Shorts with covered, elasticized waistband and overlocked hems.","['Cotton 98%, Elastane 2%']",Light gray melange/Love
h&m,2-pack Ribbed Pajama Shorts,$17.99,$17.99,"https://lp2.hm.com/hmgoepprod?set=source[/3f/97/3f97a1536bc7d919443b988b73554b28d348ae24.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0888399001.html,"Pajama shorts in soft, ribbed jersey. Covered, elasticized waistband, overlocked hems, and short slits at sides.","['Shell: Cotton 60%, Polyester 40%', 'Shell: Cotton 98%, Viscose 2%']",Light gray/dark gray
h&m,Faux Shearling Bathrobe,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/d5/69/d5693ae709414edacb9e98b2db00c9090013a3d1.jpg],origin[dam],category[ladies_nightwear_dressing_gowns],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0909918001.html,Bathrobe in soft faux shearling with a removable tie belt at waist. Made partly with recycled polyester.,['Polyester 100%'],"Cream, Light gray"
h&m,H&M+ Ribbed Pajamas,$34.99,$34.99,"https://lp2.hm.com/hmgoepprod?set=source[/bf/a6/bfa6c2e05474303d662831199bb20e56044c2a14.jpg],origin[dam],category[ladies_nightwear_pyjamas],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0907212001.html,Pajamas in ribbed cotton jersey. Relaxed-fit top with dropped shoulders and short sleeves. Pants with an elasticized waistband and wide legs with overlocked hems.,"['Cotton 95%, Elastane 5%']",Powder pink
h&m,H&M+ Cotton-blend Pajamas,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/90/ff/90ffe96caf3f52917eb54d6c72c0a93e16b7bef8.jpg],origin[dam],category[ladies_nightwear_pyjamas],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0943212002.html,"Pajamas in soft, cotton-blend jersey. Top with dropped shoulders, long sleeves, and trim at neckline and cuffs. Pants with covered, elasticized waistband and cuff at hems.","['Cotton 98%, Viscose 2%']",Light gray melange/eggs
h&m,Faux Fur Slippers,$29.99,$29.99,"https://lp2.hm.com/hmgoepprod?set=source[/b3/71/b371c128ed26369fde41d49bbc0515cc6a313b7f.jpg],origin[dam],category[ladies_nightwear_slippers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0906498001.html,Slippers with crossover foot straps in soft faux fur. Fluted soles. Sole thickness 1 in.,"['Lining and insole: Polyester 100%', 'Sole: Thermoplastic rubber 100%', 'Upper: Polyester 100%']",Black
