brand,item,price,deal_price,img_url,product_url
GOODIOUS,pyjama à rayures,214 €,107 €,https://cdn-images.farfetch-contents.com/14/83/46/54/14834654_24496082_300.jpg,https://www.farfetch.com/fr/shopping/women/goodious-pyjama-a-rayures-item-14834654.aspx?storeid=11907
Desmond & Dempsey,pyjama The Jag,140 €,,https://cdn-images.farfetch-contents.com/14/54/52/74/14545274_23441245_300.jpg,https://www.farfetch.com/fr/shopping/women/desmond-dempsey-pyjama-the-jag-item-14545274.aspx?storeid=9359
Marc Jacobs,bas de pyjama,440 €,264 €,https://cdn-images.farfetch-contents.com/14/41/86/52/14418652_21039801_300.jpg,https://www.farfetch.com/fr/shopping/women/marc-jacobs-bas-de-pyjama-item-14418652.aspx?storeid=11696
La Perla,pyjama Layla,327 €,,https://cdn-images.farfetch-contents.com/15/65/44/69/15654469_28928623_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-pyjama-layla-item-15654469.aspx?storeid=11362
La Perla,pyjama en soie,308 €,,https://cdn-images.farfetch-contents.com/14/35/47/69/14354769_24070073_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-pyjama-en-soie-item-14354769.aspx?storeid=9359
Christopher Kane,pyjama More Joy,425 €,,https://cdn-images.farfetch-contents.com/14/65/43/66/14654366_26623635_300.jpg,https://www.farfetch.com/fr/shopping/women/christopher-kane-pyjama-more-joy-item-14654366.aspx?storeid=10073
Morgan Lane,pyjama Kaia rayé,213 €,,https://cdn-images.farfetch-contents.com/14/71/98/62/14719862_23801115_300.jpg,https://www.farfetch.com/fr/shopping/women/morgan-lane-pyjama-kaia-raye-item-14719862.aspx?storeid=10745
Kiki de Montparnasse,chemise de pyjama,292 €,,https://cdn-images.farfetch-contents.com/13/56/12/79/13561279_16093279_300.jpg,https://www.farfetch.com/fr/shopping/women/kiki-de-montparnasse-chemise-de-pyjama-item-13561279.aspx?storeid=11911
Eres,chemise de pyjama Luggage,385 €,,https://cdn-images.farfetch-contents.com/15/25/54/82/15255482_27048744_300.jpg,https://www.farfetch.com/fr/shopping/women/eres-chemise-de-pyjama-luggage-item-15255482.aspx?storeid=12673
Jil Sander,pyjama à effet froissé,925 €,740 €,https://cdn-images.farfetch-contents.com/14/93/40/75/14934075_29587124_300.jpg,https://www.farfetch.com/fr/shopping/women/jil-sander-pyjama-a-effet-froisse-item-14934075.aspx?storeid=11719
Off-White,pantalon Illusion d'inspiration pyjama,970 €,485 €,https://cdn-images.farfetch-contents.com/14/74/83/53/14748353_26205496_300.jpg,https://www.farfetch.com/fr/shopping/women/off-white-pantalon-illusion-dinspiration-pyjama-item-14748353.aspx?storeid=12572
Morgan Lane,ensemble de pyjama Kaia,289 €,,https://cdn-images.farfetch-contents.com/13/61/32/57/13613257_22017721_300.jpg,https://www.farfetch.com/fr/shopping/women/morgan-lane-ensemble-de-pyjama-kaia-item-13613257.aspx?storeid=10745
Chinti and Parker,pyjama à rayures,462 €,,https://cdn-images.farfetch-contents.com/15/67/25/01/15672501_28891163_300.jpg,https://www.farfetch.com/fr/shopping/women/chinti-and-parker-pyjama-a-rayures-item-15672501.aspx?storeid=10241
Gilda & Pearl,bas de pyjama Sophia,320 €,,https://cdn-images.farfetch-contents.com/15/54/38/36/15543836_28103560_300.jpg,https://www.farfetch.com/fr/shopping/women/gilda-pearl-bas-de-pyjama-sophia-item-15543836.aspx?storeid=10249
La Doublej,pantalon de pyjama Colombo,320 €,,https://cdn-images.farfetch-contents.com/15/52/25/14/15522514_27837955_300.jpg,https://www.farfetch.com/fr/shopping/women/la-doublej-pantalon-de-pyjama-colombo-item-15522514.aspx?storeid=10929
Mira Mikati,haut de pyjama imprimé,425 €,213 €,https://cdn-images.farfetch-contents.com/14/78/77/55/14787755_24199434_300.jpg,https://www.farfetch.com/fr/shopping/women/mira-mikati-haut-de-pyjama-imprime-item-14787755.aspx?storeid=11087
F.R.S For Restless Sleepers,chemise de pyjama imprimée,860 €,,https://cdn-images.farfetch-contents.com/12/00/69/02/12006902_9448353_300.jpg,https://www.farfetch.com/fr/shopping/women/frs-for-restless-sleepers-chemise-de-pyjama-imprimee-item-12006902.aspx?storeid=9352
Morgan Lane,pyjama Kaia rayé,213 €,,https://cdn-images.farfetch-contents.com/14/71/98/61/14719861_23801106_300.jpg,https://www.farfetch.com/fr/shopping/women/morgan-lane-pyjama-kaia-raye-item-14719861.aspx?storeid=10745
Marques'Almeida,pantalon de pyjama fuselé,429 €,171 €,https://cdn-images.farfetch-contents.com/14/90/75/41/14907541_24534871_300.jpg,https://www.farfetch.com/fr/shopping/women/marquesalmeida-pantalon-de-pyjama-fusele-item-14907541.aspx?storeid=9597
Kiki de Montparnasse,pyjama à motif géométrique,729 €,,https://cdn-images.farfetch-contents.com/14/49/82/17/14498217_22295357_300.jpg,https://www.farfetch.com/fr/shopping/women/kiki-de-montparnasse-pyjama-a-motif-geometrique-item-14498217.aspx?storeid=11911
Chinti and Parker,pyjama à rayures,487 €,,https://cdn-images.farfetch-contents.com/15/73/74/69/15737469_28940928_300.jpg,https://www.farfetch.com/fr/shopping/women/chinti-and-parker-pyjama-a-rayures-item-15737469.aspx?storeid=10241
La Perla,bas de pyjama Maison,431 €,,https://cdn-images.farfetch-contents.com/14/35/47/44/14354744_22532182_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-bas-de-pyjama-maison-item-14354744.aspx?storeid=9359
Prada,pyjama à motif géométrique,1 540 €,,https://cdn-images.farfetch-contents.com/13/93/58/06/13935806_17875120_300.jpg,https://www.farfetch.com/fr/shopping/women/prada-pyjama-a-motif-geometrique-item-13935806.aspx?storeid=9838
Asceno,bas de pyjama London ,200 €,,https://cdn-images.farfetch-contents.com/15/39/09/81/15390981_27247081_300.jpg,https://www.farfetch.com/fr/shopping/women/asceno-bas-de-pyjama-london-item-15390981.aspx?storeid=9359
