brand,item,price,img_url,product_url
Comme des Garçons Shirt,Crew-neck cotton-jersey T-shirt,$58,//assetsprx.matchesfashion.com/img/product/1288124_1_large.jpg,https://www.matchesfashion.com/us/products/Comme-des-Gar%C3%A7ons-Shirt-Crew-neck-cotton-jersey-T-shirt-1288124
Comme des Garçons Shirt,Crew-neck cotton-jersey T-shirt,$58,//assetsprx.matchesfashion.com/img/product/1288123_1_large.jpg,https://www.matchesfashion.com/us/products/Comme-des-Gar%C3%A7ons-Shirt-Crew-neck-cotton-jersey-T-shirt-1288123
Comme des Garçons Shirt,Crew-neck cotton-jersey T-shirt,$58,//assetsprx.matchesfashion.com/img/product/1288122_1_large.jpg,https://www.matchesfashion.com/us/products/Comme-des-Gar%C3%A7ons-Shirt-Crew-neck-cotton-jersey-T-shirt-1288122
Derek Rose,Jack pima-cotton crew-neck T-shirt	,$68,//assetsprx.matchesfashion.com/img/product/174266_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Jack-pima-cotton-crew-neck-T-shirt%09-174266
Derek Rose,Basel jersey shorts,$115,//assetsprx.matchesfashion.com/img/product/1048474_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Basel-jersey-shorts-1048474
Polo Ralph Lauren,Pack of three logo-embroidered cotton T-shirts,$45,//assetsprx.matchesfashion.com/img/product/1339914_1_large.jpg,https://www.matchesfashion.com/us/products/Polo-Ralph-Lauren-Pack-of-three-logo-embroidered-cotton-T-shirts-1339914
Dolce & Gabbana,Pack of two logo-label stretch-cotton vests,$81,//assetsprx.matchesfashion.com/img/product/1313468_1_large.jpg,https://www.matchesfashion.com/us/products/Dolce-%26-Gabbana-Pack-of-two-logo-label-stretch-cotton-vests-1313468
Dolce & Gabbana,Pack of two logo-label stretch-cotton vests,$81,//assetsprx.matchesfashion.com/img/product/1313467_1_large.jpg,https://www.matchesfashion.com/us/products/Dolce-%26-Gabbana-Pack-of-two-logo-label-stretch-cotton-vests-1313467
Versace,Logo-print stretch-cotton vest,$75,//assetsprx.matchesfashion.com/img/product/1315099_1_large.jpg,https://www.matchesfashion.com/us/products/Versace-Logo-print-stretch-cotton-vest-1315099
Zimmerli,700 Pureness crew-neck T-shirt,$81,//assetsprx.matchesfashion.com/img/product/1299652_1_large.jpg,https://www.matchesfashion.com/us/products/Zimmerli-700-Pureness-crew-neck-T-shirt-1299652
Zimmerli,Drawstring cotton-blend jersey track pants,$152,//assetsprx.matchesfashion.com/img/product/1299649_1_large.jpg,https://www.matchesfashion.com/us/products/Zimmerli-Drawstring-cotton-blend-jersey-track-pants-1299649
Dolce & Gabbana,Day-by-Day pack of two stretch-cotton vests,$81,//assetsprx.matchesfashion.com/img/product/1313466_1_large.jpg,https://www.matchesfashion.com/us/products/Dolce-%26-Gabbana-Day-by-Day-pack-of-two-stretch-cotton-vests-1313466
Versace,Medusa logo cotton-blend vest,$75,//assetsprx.matchesfashion.com/img/product/1315098_1_large.jpg,https://www.matchesfashion.com/us/products/Versace-Medusa-logo-cotton-blend-vest-1315098
Hamilton and Hare,Relaxed cotton-jersey T-shirt,$48,//assetsprx.matchesfashion.com/img/product/1302212_1_large.jpg,https://www.matchesfashion.com/us/products/Hamilton-and-Hare-Relaxed-cotton-jersey-T-shirt-1302212
Sunspel,Superfine-cotton tank top,$50,//assetsprx.matchesfashion.com/img/product/1341385_1_large.jpg,https://www.matchesfashion.com/us/products/Sunspel-Superfine-cotton-tank-top-1341385
Organic Basics,Lite V-Neck Tencel-blend jersey T-Shirt,$47,//assetsprx.matchesfashion.com/img/product/1307475_1_large.jpg,https://www.matchesfashion.com/us/products/Organic-Basics-Lite-V-Neck-Tencel-blend-jersey-T-Shirt-1307475
Organic Basics,Lite Tencel-blend jersey tank top,$35,//assetsprx.matchesfashion.com/img/product/1307471_1_large.jpg,https://www.matchesfashion.com/us/products/Organic-Basics-Lite-Tencel-blend-jersey-tank-top-1307471
Organic Basics,Lite Tencel-blend jersey tank top	,$35,//assetsprx.matchesfashion.com/img/product/1307470_1_large.jpg,https://www.matchesfashion.com/us/products/Organic-Basics-Lite-Tencel-blend-jersey-tank-top%09-1307470
Organic Basics,SilverTech Everyday crew-neck cotton-blend T-shirt,$48,//assetsprx.matchesfashion.com/img/product/1307463_1_large.jpg,https://www.matchesfashion.com/us/products/Organic-Basics-SilverTech-Everyday-crew-neck-cotton-blend-T-shirt-1307463
Organic Basics,SilverTech Everyday crew-neck cotton-blend T-shirt,$48,//assetsprx.matchesfashion.com/img/product/1307462_1_large.jpg,https://www.matchesfashion.com/us/products/Organic-Basics-SilverTech-Everyday-crew-neck-cotton-blend-T-shirt-1307462
Comme des Garçons Shirt,Cotton-jersey tank top,$50,//assetsprx.matchesfashion.com/img/product/1288121_1_large.jpg,https://www.matchesfashion.com/us/products/Comme-des-Gar%C3%A7ons-Shirt-Cotton-jersey-tank-top-1288121
Comme des Garçons Shirt,Round-neck cotton-jersey tank top,$50,//assetsprx.matchesfashion.com/img/product/1288119_1_large.jpg,https://www.matchesfashion.com/us/products/Comme-des-Gar%C3%A7ons-Shirt-Round-neck-cotton-jersey-tank-top-1288119
Schiesser,Karl-Heinz cotton T-shirt,$60,//assetsprx.matchesfashion.com/img/product/1306718_1_large.jpg,https://www.matchesfashion.com/us/products/Schiesser-Karl-Heinz-cotton-T-shirt-1306718
Schiesser,Hanno slubbed stretch cotton-jersey vest,$43,//assetsprx.matchesfashion.com/img/product/1306716_1_large.jpg,https://www.matchesfashion.com/us/products/Schiesser-Hanno-slubbed-stretch-cotton-jersey-vest-1306716
Schiesser,Karl Heinz long-sleeved cotton henley top,$65,//assetsprx.matchesfashion.com/img/product/1306713_1_large.jpg,https://www.matchesfashion.com/us/products/Schiesser-Karl-Heinz-long-sleeved-cotton-henley-top-1306713
Hemen Biarritz,Gari ribbed organic cotton-jersey tank top,$43,//assetsprx.matchesfashion.com/img/product/1301801_1_large.jpg,https://www.matchesfashion.com/us/products/Hemen-Biarritz-Gari-ribbed-organic-cotton-jersey-tank-top-1301801
Hemen Biarritz,Gari Breton-striped organic cotton-jersey tank top,$48,//assetsprx.matchesfashion.com/img/product/1301800_1_large.jpg,https://www.matchesfashion.com/us/products/Hemen-Biarritz-Gari-Breton-striped-organic-cotton-jersey-tank-top-1301800
Hemen Biarritz,Luzien organic cotton-jersey henley top,$60,//assetsprx.matchesfashion.com/img/product/1301798_1_large.jpg,https://www.matchesfashion.com/us/products/Hemen-Biarritz-Luzien-organic-cotton-jersey-henley-top-1301798
Schiesser,Hanno tank top,$43,//assetsprx.matchesfashion.com/img/product/1200309_1_large.jpg,https://www.matchesfashion.com/us/products/Schiesser-Hanno-tank-top-1200309
Schiesser,Karl Heinz long-sleeved cotton henley top,$65,//assetsprx.matchesfashion.com/img/product/1264333_1_large.jpg,https://www.matchesfashion.com/us/products/Schiesser-Karl-Heinz-long-sleeved-cotton-henley-top-1264333
Paul Smith,Signature stripe zip-through hooded sweatshirt,$135,//assetsprx.matchesfashion.com/img/product/1239986_1_large.jpg,https://www.matchesfashion.com/us/products/Paul-Smith-Signature-stripe-zip-through-hooded-sweatshirt-1239986
