brand,item,price,image_url,product_url
Intimissimi,Veste Coupe Homme en Satin de Soie,89.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw73ea0116/images/CLD1233_wear_163I_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/veste_coupe_homme_en_satin_de_soie-CLD1233.html?dwvar_CLD1233_Z_COL_INTD=163I
Intimissimi,Pyjama Long Imprimé Rosier Mousseux,39.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw5c06e53e/images/PLD840_wear_2127_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/pyjama_long_imprime_rosier_mousseux-PLD840.html?dwvar_PLD840_Z_COL_INTD=2127
Intimissimi,Pull Manches Longues Ouvert Silk Touch,49.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw82e4c3ef/images/CLD848A_wear_2127_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/pull_manches_longues_ouvert_silk_touch-CLD848A.html?dwvar_CLD848A_Z_COL_INTD=2127
Intimissimi,Pantalon avec Bas Resserré en Modal/Soie Silk Touc...,35.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dwa5ff70ac/images/PDL848_wear_597I_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/pantalon_avec_bas_resserre_en_modal_soie_silk_touch-PDL848.html?dwvar_PDL848_Z_COL_INTD=597I
Intimissimi,Veste Coupe Homme en Satin de Soie,89.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw2672d669/images/CLD1233_wear_3094_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/veste_coupe_homme_en_satin_de_soie-CLD1233.html?dwvar_CLD1233_Z_COL_INTD=3094
Intimissimi,Pantalon en Satin de Soie,69.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw903f1bab/images/PDL1233_wear_163I_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/pantalon_en_satin_de_soie-PDL1233.html?dwvar_PDL1233_Z_COL_INTD=163I
Intimissimi,Pantalon en Modal/Soie Silk Touch,39.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw624b3171/images/PDL848A_wear_2127_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/pantalon_en_modal_soie_silk_touch-PDL848A.html?dwvar_PDL848A_Z_COL_INTD=2127
Intimissimi,Short en Soie,25.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dwbf85b433/images/PDC71S_wear_019_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/short_en_soie-PDC71S.html?dwvar_PDC71S_Z_COL_INTD=019
Intimissimi,Débardeur en Soie et Dentelle,39.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw3641b02e/images/LTD71S_wear_496I_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/debardeur_en_soie_et_dentelle-LTD71S.html?dwvar_LTD71S_Z_COL_INTD=496I
Intimissimi,Haut en Modal Mélangé Côtelé à Manches Longues,25.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw7c9d4e89/images/CLD800_wear_180I_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/haut_en_modal_melange_cotele_a_manches_longues-CLD800.html?dwvar_CLD800_Z_COL_INTD=180I
Intimissimi,Débardeur en Soie et Dentelle,39.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw7884f549/images/LTD71S_wear_2280_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/debardeur_en_soie_et_dentelle-LTD71S.html?dwvar_LTD71S_Z_COL_INTD=2280
Intimissimi,Pantalon en Modal Pretty Flower,25.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw51b6e3fb/images/PD1294P_wear_9887_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/pantalon_en_modal_pretty_flower-PD1294P.html?dwvar_PD1294P_Z_COL_INTD=9887
Intimissimi,Haut en Modal Mélangé Côtelé à Manches Courtes,25.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw1b6ffe8e/images/CMD800_wear_180I_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/haut_en_modal_melange_cotele_a_manches_courtes-CMD800.html?dwvar_CMD800_Z_COL_INTD=180I
Intimissimi,Short en Modal Mélangé Côtelé,19.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dwff5ad296/images/PDC800_wear_179I_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/short_en_modal_melange_cotele-PDC800.html?dwvar_PDC800_Z_COL_INTD=179I
Intimissimi,Top en Satin de Soie,39.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw2e73e3fe/images/LT71S3_wear_019_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/top_en_satin_de_soie-LT71S3.html?dwvar_LT71S3_Z_COL_INTD=019
Intimissimi,Veste en Modal Pretty Flower,39.90 €,https://www.intimissimi.com/dw/image/v2/BCXQ_PRD/on/demandware.static/-/Sites-INT_EC_COM/default/dw18bfd73f/images/CL1294Q_wear_9887_M.jpg?sw=400&sfrm=png,www.intimissimi.com/fr/product/veste_en_modal_pretty_flower-CL1294Q.html?dwvar_CL1294Q_Z_COL_INTD=9887
